,Project Name,Title Length,Project Source,Project Type,Project Plant Year,Project Built Year,Project Country,Project Latitude,Project Longitude,Project Function,Project Description,Project Lessons,Project Link,Project Retail Rate,Project Consumption,Project PVaPC,Project Form,Project Size,Project Cost,System Type,System Building Element,System Inverter,System Cost,System Cost Intensity,System Efficiency Comprimise,System Rating,System Coverage,System Specific Yield,System Generation Measured,System Generation Simulated,System Agreement,System Agreement Rate,System Rebate,Array Orientation(s),Array Surface(s),Array Tilt(s),Array Mount(s),Module Type(s),Module Cell Type(s),Module Construction,Module Products,Module Sizes(s),Module Transparency,Module Transparency Type,Module Uniques,Module Cost,Fake Modules?,Data Source(s),Image Name,Economic FIT,Economic DR,Economic Price Change,Resolution,Manual Inspection,Keep,Note,Simple System Building Element,System Type Clean,Map Symbols,Map Symbols2,Project Function Clean,Array Orientation(s) Clean,Map Sizes,System Generation,Map Colors
110,Novartis Pharma,15.0,Swiss BIPV Competence Center,New Build,2008,2008,Switzerland,47.57402195,7.578466146,Office,Unknown,,,,,,,,,,Glass Roof,,,,,92.74,1300,700.8841924,0.0,65000.0,,,,Unknown,Curved Glass Roof,,,Crystalline,Mono,,Schuco & Sunways,,0,,,,,,placeholder,,,,,,,,Glazed,Unknown,diamond,diamond,Office,Unknown,14,65000.0,#c2cb7e
111,OpTIC Technium,14.0,Swiss BIPV Competence Center,New Build,2008,2008,United Kingdom,53.25881447,-3.475605788,Office,Unknown,,,,,,,,,,Cold Facade,,,,,84.0,1000,805.1785714,0.0,67635.0,,,,South,Curved Panelized Facade,c5-70,,Thin Film,CIS,,Shell CIS,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Office,180,14,67635.0,#c2cb7e
112,Riedel Recycling,16.0,Swiss BIPV Competence Center,New Build,2008,2008,Germany,51.4939955,6.5903314,Industrial,Unknown,,,,,,,,,,Pitched Roof,,,,,837.0,9500,896.0573477,0.0,750000.0,,,,Unknown,BIPV Roof,c70-45,,Thin Film,CIS,,,,5,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Industrial,Unknown,22,750000.0,#c2cb7e
113,RP Technik,10.0,Swiss BIPV Competence Center,New Build,2008,2008,Germany,51.6112396,7.7674026,Industrial,Unknown,,,,,,,,,,Warm Facade,,,,,8.4,120,411.9047619,0.0,3460.0,,,,East,Paneled BIPV Facade,90,,Thin Film,CIS,,Glass-glass curtain,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Industrial,90,10,3460.0,#c2cb7e
114,SwissTech Convention Ctr.,25.0,Swiss BIPV Competence Center,New Build,2008,2008,Switzerland,46.5231541,6.5645969,Civic,Unknown,,,,,,,,,,Accessory System,,,,,2.0,250,1000,0.0,2000.0,,,,West,Solar Control,90,,3rd Generation,DSST,,Solaronix LP4M,,0,,,,,,placeholder,,,,,,,Multicoloured Gratzel,Shading,Unknown,triangle-ne,embassy,Civic,270,8,2000.0,#c2cb7e
115,World Join Ctr.,15.0,Swiss BIPV Competence Center,New Build,2008,2008,Italy,45.490206,9.1406963,Office,Unknown,,,,,,Pitched Rectilinear,,,,Cold Facade,,,,,23.0,197.8,0,0.0,0.0,,,,190,Paneled BIPV Facade,90,,Thin Film,CIS,,Wurth CIS 75W,,0,,,,,,placeholder,,,,,,,Together with the other facade annual generation of 99400kWh,Facade,Unknown,triangle-right,square,Office,190,14,0.0,#c2cb7e
116,World Join Ctr.,15.0,Swiss BIPV Competence Center,New Build,2008,2008,Italy,45.490206,9.1406963,Office,Unknown,,,,,,,,,,Cold Facade,,,,,57.0,490.2,0,0.0,0.0,,,,150,Paneled BIPV Facade,90,,Thin Film,CIS,,,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Office,150,14,0.0,#c2cb7e
117,Ferdinand Braun Institute,25.0,Swiss BIPV Competence Center,New Build,2007,2007,Germany,52.4285787,13.5335351,Office,Unknown,,,,,Na,,,,,Cold Facade,,,,,39.0,640,0,0.0,0.0,,,,Southwest,Paneled BIPV Facade - Concave,c70-90,,Thin Film,CIS,,Sulfurcell (Soltecture),,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Office,225,14,0.0,#c2cb7e
118,Marche International,20.0,Swiss BIPV Competence Center,New Build,2007,2007,Switzerland,47.44814764,8.699910136,Office,Unknown,,,,,,,,,,Sloped Roof,,,,,44.6,485,896.8609865,0.0,40000.0,,,,Unknown,Paneled BIPV Roof,12,,Thin Film,a-Si,,,,20,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Office,Unknown,14,40000.0,#c2cb7e
119,People's Association,20.0,BIPV SG,New Build,2007,2007,Singapore,1.3085594,103.8593134,Commercial,"The People's Association located in King George Avenue, is inspired by the idea of a ""rain tree with outreach foliage"".",,,,,,Shed,,,,Skylight,,,,,30.0,0,0,0.0,0.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Glazed,Unknown,diamond,diamond,Commerical,Unknown,14,0.0,#c2cb7e
120,Ludesch Community Center,24.0,Swiss BIPV Competence Center,New Build,2006,2006,Austria,47.193046,9.783452,Civic,Unknown,,https://www.hkarchitekten.at/en/project/gemeindezentrum-ludesch; https://www.hkarchitekten.at/v61/wp-content/uploads/pdfs/00_96-forschungsbericht.pdf,,14,,,14500.0,,,Pitched Glass Roof,,,,,19.08,204.2,838.5744235,0.0,16000.0,,,,Unknown,Glass-glass roof,15,,Crystalline,Mono,,Ertex VSG,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Civic,Unknown,10,16000.0,#c2cb7e
121,Kanazawa Station,16.0,BIPV SG,New Build,2005,2005,Japan,36.5780456,136.6481714,Mobility,The Kanazawa Station is a great example of a rooftop and skylight BIPV.,,,,,,,,,,Rooftop and Skylight,,,,,100.0,0,0,0.0,0.0,,,,Unknown,,,,Thin Film,a-Si,,,,0,,,,,,placeholder,,,,,,,,Mixed,Unknown,cross,heart,Office,Unknown,14,0.0,#c2cb7e
122,Stadt de Suisse Phase 1,23.0,Swiss BIPV Competence Center,Retrofit,2009,2005,Switzerland,46.9631187,7.4647615,Stadium,Unknown,,,,,,Bar,,,,Pitched Roof,,,,,855.0,6541,818.7134503,0.0,700000.0,,,,Unknown,BAPV Roof,10,,Crystalline,Poly,,Kyocera KC167GH-2,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Stadium,Unknown,22,700000.0,#6f462e
123,Stadt de Suisse Phase 2,23.0,Swiss BIPV Competence Center,Retrofit,2009,2005,Switzerland,46.9631187,7.4647615,Stadium,Unknown,,,,,,,,,,Pitched Roof,,,,,487.0,3586,891.2628337,0.0,434045.0,,,,Unknown,BAPV Roof,10,,Crystalline,Poly,,Kyocera KC175GHT-2,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Stadium,Unknown,22,434045.0,#6f462e
124,CHP Plant Gelsia Facade,23.0,Swiss BIPV Competence Center,Retrofit,2016,2004,Italy,45.64547,9.205979,Industrial,Unknown,,,,,Na,,,,,Cold Facade,,,,,5.5,20.4,0,0.0,0.0,,,,South,Ventilated Facade BIPV - Shading,30,,Crystalline,Poly,,PV Renesola 250W,,20,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Industrial,180,10,0.0,#6f462e
125,CHP Plant Gelsia Tower,22.0,Swiss BIPV Competence Center,Retrofit,2016,2004,Italy,45.64547,9.205979,Industrial,Unknown,,,,,Na,,,,,Cold Facade,,,,,10.5,57.6,0,0.0,0.0,,,,Mixed,Ventilated Facade BIPV - Chimney Cover,30,,Crystalline,Poly,,PV Renesola 250W,,40,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Industrial,Mixed,10,0.0,#6f462e
126,Kobe City Hall,14.0,BIPV SG,New Build,2004,2004,Japan,34.6894837,135.195739,Civic,The building consists of of Facade BIPVs which acts as shading devices.,,,,,,,,,,Glazed Facade,,,,,2.4,0,0,0.0,0.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Glazed,Unknown,diamond,diamond,Civic,Unknown,8,0.0,#c2cb7e
127,Kriegerhornbahn,15.0,Swiss BIPV Competence Center,New Build,2004,2004,Austria,47.213982,10.11407,Civic,Unknown,,,,,Na,,,,,Warm Facade,,,,,9.5,150,900,0.0,8550.0,,,,South,Glass-glass Facade,90,,Crystalline,Mono,,EVA Tempered Glass,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Civic,180,10,8550.0,#c2cb7e
128,MSK Nagano Factory,18.0,BIPV SG,New Build,2004,2004,Japan,36.2688875,138.5030559,Industrial,MSK Nagano Factory is known as the world's largest PV module manufacturing plant with a production capacity of 100MW.,,,,,,,,,,Rooftop,,,,,58.0,0,0,0.0,0.0,,,,Unknown,,,,,Unknown,,,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Industrial,Unknown,14,0.0,#c2cb7e
129,MSK Nagano Factory,18.0,BIPV SG,New Build,2004,2004,Japan,36.2688875,138.5030559,Industrial,MSK Nagano Factory is known as the world's largest PV module manufacturing plant with a production capacity of 100MW.,,,,,,,,,,Facade,,,,,4.0,0,0,0.0,0.0,,,,Unknown,,,,,Unknown,,,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Industrial,Unknown,8,0.0,#c2cb7e
130,Parking Deck in Zwolle,22.0,Swiss BIPV Competence Center,New Build,2004,2004,Netherlands,52.50827995,6.101850985,Parking,Unknown,,,,,,,,,,Warm Facade,,,,,27.0,650,648.1481481,0.0,17500.0,,,,South,Paneled BIPV Facade,90,,Thin Film,a-Si,,Schott Solar,,0,,,,,,placeholder,,,,,,,Self shading definitely is occuring],Facade,Unknown,triangle-right,square,Mobility,180,14,17500.0,#c2cb7e
131,Paul Horn Arena,15.0,Swiss BIPV Competence Center,New Build,2004,2004,Germany,48.5103979,9.042109285,Civic,Unknown,,,,,,,,,,Cold Facade,,,,,43.7,420,686.4988558,0.0,30000.0,,,,Southwest,Paneled BIPV Facade,90,,Crystalline,Poly,,GSS Custom,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Civic,225,14,30000.0,#c2cb7e
132,Bordeaux Garden,15.0,Swiss BIPV Competence Center,Retrofit,2007,2003,France,44.8443298,-0.5588572,Civic,A large skylight BIPV array set atop a botnaical garden. ,,https://www.bipv.ch/index.php/en/other-s-en/item/831-botanicalgarden,,,Na,,,,Integrated,roof,,,,,37.0,514,1108.108108,0.0,41000.0,,,,Unknown,skylight,5,,Crystalline,Poly,,Tenesol,,20,grid,,,,,bordeaux_botanical_g,,,,Project,x,,,Roof,Integrated,triangle-up,airfield,Civic,Unknown,14,41000.0,#6f462e
133,Bowe Cardtec,12.0,Swiss BIPV Competence Center,New Build,2003,2003,Germany,51.7096145,8.7174337,Industrial,An opaque vertical BIPV facade was built into this office building. Of note is the tree to the left which has grown to shade the facade since its construction. There are two sizes of modules used and the array wraps onto the NE and SW edges of the facade.,,https://www.bipv.ch/index.php/en/industrial-s-en/item/595-boewe,,,Na,,,,Integrated,facade,,,,,9.65,80,0,0.0,0.0,,,,SE,cold facade,90,,Crystalline,Mono,,Isofoton,,0,,,,,,bowe_cardec_o,,,,Project,x,,Facade is heavily shaded by trees.,Facade,Integrated,triangle-right,square,Industrial,135,10,0.0,#c2cb7e
134,Buhler Electricity,18.0,Swiss BIPV Competence Center,Retrofit,2011,2003,Switzerland,46.27325,6.960596,Office,When this building underwent a retrofit it had a rooftop array refreshed with new modules and an additional BIPV facade installed.,,https://www.bipv.ch/index.php/en/administration-s-en/item/1056-buhlerelectricite-eng,,,Na,,,,Attached,roof,,,,,,0,0,0.0,90000.0,,,,Unknown,Flat Roof BAPV,5,,Crystalline,Mono,,,,0,,,,,,buhler_roof_o,,,,Array,x,,,Roof,Attached,triangle-up,airfield,Office,Unknown,8,90000.0,#6f462e
135,Buhler Electricity,18.0,Swiss BIPV Competence Center,Retrofit,2011,2003,Switzerland,46.27325,6.960596,Office,When this building underwent a retrofit it had a rooftop array refreshed with new modules and an additional BIPV facade installed.,,https://www.bipv.ch/index.php/en/administration-s-en/item/1056-buhlerelectricite-eng,,,Na,,,,Integrated,facade,,,,,,0,0,0.0,6000.0,,,,SE,cold facade,90,,Crystalline,Mono,,,,0,,,,,,buhler_facade_o,,,,Array,x,,,Facade,Integrated,triangle-right,square,Office,135,8,6000.0,#6f462e
136,Daito University Itabashi,25.0,BIPV SG,New Build,2003,2003,Japan,35.7821722,139.6682864,Institutional,"Daito University consists of Facade and Skylight BIPVs. It's transparency is high as it allow huge amount of sunlight to shine through. This not only reduces the usage of electricity to power light, but provides natural sunlight",,,,,,,,,,Skylight and Facade,,,,,,750,0,0.0,0.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Mixed,Unknown,cross,heart,Institutional,Unknown,8,0.0,#c2cb7e
137,Zicer Building Facade,21.0,Swiss BIPV Competence Center,New Build,2003,2003,United Kingdom,52.62167994,1.23776275,Office,Unknown,,,,100,,,,,,Warm Facade,,,,,6.72,85,0,0.0,0.0,,,,East,Glass-glass Facade,90,,Crystalline,Poly,,BP VSG,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Office,90,10,0.0,#c2cb7e
138,Zicer Building,14.0,Swiss BIPV Competence Center,New Build,2003,2003,United Kingdom,52.62167994,1.23776275,Office,Unknown,,,,100,,,,,,Pitched Roof,,,,,27.16,265,0,0.0,0.0,,,,Unknown,Glass-glass roof,15,,Crystalline,Mono,,BP VSG,,0,,,,,,placeholder,,,,,,,With the facade annual generation of 22650kWh,Roof,Unknown,triangle-up,airfield,Office,Unknown,14,0.0,#c2cb7e
139,Dauwalder House Facade,22.0,Swiss BIPV Competence Center,New Build,2002,2002,Switzerland,47.4638505,8.2486929,Single Family Residential,Unknown,,,,,Na,,,,,Facade,,,,,1.5,0,0,0.0,0.0,,,,South,BIPV Facade,90,,Crystalline,Mono,,Na,,10,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Single Residential,180,8,0.0,#c2cb7e
140,Dauwalder House Roof,20.0,Swiss BIPV Competence Center,New Build,2002,2002,Switzerland,47.4638505,8.2486929,Single Family Residential,Unknown,,,,,Na,,,,,Facade,,,,,7.6,0,0,0.0,0.0,,,,None,BAPV Roof,5,,Crystalline,Mono,,Na,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Single Residential,Unknown,10,0.0,#c2cb7e
141,Home in Pratteln,16.0,Swiss BIPV Competence Center,New Build,2002,2002,Switzerland,47.523088,7.7054482,Single Family Residential,Unknown,,https://www.solaragentur.ch/sites/default/files/2005gesamt.pdf,,36.2,,,334.0,,,Accessory System,,,,,3.12,0,865.3846154,0.0,2700.0,,,,Southwest,Solar Control,90,,Crystalline,Mono,,,,15,,,,,,placeholder,,,,,,,,Shading,Unknown,triangle-ne,embassy,Single Residential,225,8,2700.0,#c2cb7e
142,Itoman Cityhall,15.0,BIPV SG,New Build,2002,2002,Japan,26.1235405,127.6658564,Mixed,The Itoman Cityhall is an advantage as its location is ideal to harvest energy as it is located on a plot of land with no other buildings or structures blocking the building.,,,,,,,,,,Louver,,,,,196.0,0,0,0.0,0.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Shading,Unknown,triangle-ne,embassy,Mixed,Unknown,22,0.0,#c2cb7e
143,Kloten Flughafen,16.0,Swiss BIPV Competence Center,New Build,2002,2002,Switzerland,47.4612417,8.5535292,Airport,Unknown,,,,,Na,,,,,Accessory System,,,,,975.0,283,270.7692308,0.0,264000.0,,,,South,Canopy,10,,Crystalline,Mono,,Isofoton Custom,,0,,,,,,placeholder,,,,,,,,Shading,Unknown,triangle-ne,embassy,Airport,180,22,264000.0,#c2cb7e
144,Lehrter Rail Station,20.0,Swiss BIPV Competence Center,New Build,2002,2002,Germany,52.5247773,13.3679541,Civic,Unknown,,,,,,,,,,Curved Glass Roof,,,,,189.0,1146,846.5608466,0.0,160000.0,,,,South,Glass-glass roof,c15-30,,Crystalline,Mono,,Optisol M0611100K,,0,,,,,,placeholder,,,,,,,,Glazed,Unknown,diamond,diamond,Civic,180,22,160000.0,#c2cb7e
145,Sanyo Solar Ark,15.0,BIPV SG,New Build,2002,2002,Japan,35.3309109,136.6712264,Commercial,"Located in the midst of the streets of Anpachi, Sanyo, stands a ark-shaped building owned by Panasonic.<br>It is a solar photovoltaic power generation facility of solar power generation which benefits both ecology and science.",,,,,,,,,,Facade,,,,,630.0,3294.8,0,0.0,530000.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Commerical,Unknown,22,530000.0,#c2cb7e
146,Erni House,10.0,Swiss BIPV Competence Center,New Build,2001,2001,Switzerland,47.50264,8.254355,Single Family Residential,Unknown,,,,,Na,,,,,Pitched Roof,,,,,11.7,110,897.4358974,0.0,10500.0,,,,Unknown,Roof BIPV,60,,Crystalline,Mono,,Schottsolar ASE-100,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Single Residential,Unknown,10,10500.0,#c2cb7e
147,Ajinomoto Stadium,17.0,BIPV SG,New Build,2001,2001,Japan,35.6642692,139.5271507,Stadium,Ajinomoto stadium was previously known as Tokyo stadium and it is a multi-purpose stadium.,,,,,,Church,,,,Skylight,,,,,266.0,0,0,0.0,0.0,,,,Unknown,,,,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Glazed,Unknown,diamond,diamond,Stadium,Unknown,22,0.0,#c2cb7e
148,Wohnhaus in Hongg,17.0,Swiss BIPV Competence Center,New Build,2001,2001,Switzerland,47.4082687,8.4909134,Multi Family Residential,Unknown,,,,,,,,,,Flat Roof,,,,,16.1,290,931.6770186,0.0,15000.0,,,,Unknown,Paneled BIPV Roof,10,,Thin Film,a-Si,,Unisolar triple Junction PVL-136,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Multi Residential,Unknown,10,15000.0,#c2cb7e
149,Residence in Zürich,19.0,Swiss BIPV Competence Center,Retrofit,2011,2000,Switzerland,47.24097071,8.470338412,Single Family Residential,Unknown,,,,,,,,,,Pitched Roof,,,,,5.6,0,1017.857143,0.0,5700.0,,,,Unknown,Tiled BIPV Roof,50,,Crystalline,Mono,,Sunpower 225,,36,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Single Residential,Unknown,10,5700.0,#6f462e
150,Houten Fire Department,22.0,Swiss BIPV Competence Center,New Build,2000,2000,Netherlands,52.0236704,5.1591728,Civic,Unknown,,,,,Na,,,,,Warm Facade,,,,,32.9,400,911.8541033,0.0,30000.0,,,,South,Glass-glass Panelized BIPV Facade - Convex,c5-70,,Crystalline,Poly,,Shell Solar VSG,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Civic,180,14,30000.0,#c2cb7e
151,The Solar Settlement,20.0,Swiss BIPV Competence Center,New Build,2000,2000,Switzerland,47.9749292,7.8292751,Multi Family Residential,Unknown,,,,,,,,,,Pitched Roof,,,,,445.0,0,943.8202247,0.0,420000.0,,,,Unknown,Paneled BAPV Roof,30,,Crystalline,Poly,,,,0,,,,,,placeholder,,,,,,,This is a district project,Roof,Unknown,triangle-up,airfield,Multi Residential,Unknown,22,420000.0,#c2cb7e
152,Residence in Ulestraten,23.0,IEA Case Studies,Retrofit,2016,2000,Netherlands,50.904405,5.779769,Single Family,Unknown,,,,,,,,,Integrated,,standard,22500,,,12.0,90,883.3333333,0.0,10600.0,,,,135,roof,30,laminated,Thin Film,CIS,,,997x1257,0,,1,,,,placeholder,,,,,,,,Unknown,Integrated,circle,circle,Single Residential,135,10,10600.0,#6f462e
153,Werkhof in Mels,15.0,Swiss BIPV Competence Center,Retrofit,2011,2000,Switzerland,47.0550975,9.411236742,Office,Unknown,,,,,,,,,,Accessory System,,,,,13.5,135,740.7407407,0.0,10000.0,,,,Southwest,Solar Control,90,,Thin Film,CIS,,Q-Smart UF 75,,0,,,,,,placeholder,,,,,,,,Shading,Unknown,triangle-ne,embassy,Office,225,10,10000.0,#6f462e
154,Euro Space Center,17.0,Swiss BIPV Competence Center,Retrofit,2009,1991,Belgium,50.0083214,5.21917,Civic,Unknown,,,,,Na,,,,,Canopy Roof,,,,,300.0,5060,1266.666667,0.0,380000.0,,,,Unknown,Canopy,45,,Crystalline,Poly,,Issol Semitransparent,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Civic,Unknown,22,380000.0,#6f462e
155,Residence in Ormalingen,23.0,Swiss BIPV Competence Center,Retrofit,2015,1987,Switzerland,47.469894,7.878843,Single Family Residential,Unknown,,,,10200kWh/a,225,Shed,,,,Pitched Roof,,,,,13.4,95.5,0,0.0,0.0,,,,Unknown,Tiled BIPV Roof,45,,Crystalline,Mono,,Sunstyle SolarDach,,30,,,,,,placeholder,,,,,,,Together with the other facade 21236 generated,Roof,Unknown,triangle-up,airfield,Single Residential,Unknown,10,0.0,#6f462e
156,Residence in Ormalingen,23.0,Swiss BIPV Competence Center,Retrofit,2015,1987,Switzerland,47.469894,7.878843,Single Family Residential,Unknown,,,,10200kWh/a,225,,,,,Pitched Roof,,,,,13.4,95.5,0,0.0,0.0,,,,Unknown,Tiled BIPV Roof,45,,Crystalline,Mono,,Sunstyle SolarDach,,5,,,,,,placeholder,,,,,,,Together with the other facade 21236 generated,Roof,Unknown,triangle-up,airfield,Single Residential,Unknown,10,0.0,#6f462e
157,Church in Halden,16.0,Swiss BIPV Competence Center,Retrofit,2010,1986,Switzerland,47.4353697,9.4132316,Worship,Unknown,,,,,,,,,,Pitched Roof,,,,,46.0,255,1065.217391,0.0,49000.0,,,,Unknown,Tiled BIPV Roof,60,,Crystalline,Mono,,Indach SunPower Solrif,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Worship,Unknown,14,49000.0,#6f462e
158,Apartment in Zurich,19.0,IEA Case Studies,Retrofit,2016,1982,Switzerland,47.39346,8.537855,Multi Family,Unknown,,https://solarchitecture.ch/residential-building-renovation/,0.252,33.7,30,,,,Integrated,,,,1665,,159.0,1586,455,0.0,72345.0,grid_battery,,,360,facade,90,standard z-girts,Crystalline,Mono,,,,0,,18,,No,,hofwiesenstrasse_strasse_o,0.29,3.23,0.02,,,,,Unknown,Integrated,circle,circle,Multi Residential,360,22,72345.0,#6f462e
159,A22 Highway HQ,14.0,Swiss BIPV Competence Center,Retrofit,2009,1980,Italy,46.07751,11.109533,Administration,On this enlargement project thin film CIS modules were integrated into the spandrel araeas of a glazed double skin facade. The modules are semi-transparent and yield a darker appearance.,,https://www.bipv.ch/images/esempi/amministrativo/A22Autobrennero/A22_Headquarter_Autobrennero_2009_ENG_.pdf,,,Na,,,,Integrated,facade,,,,,7.0,97,0,0.0,0.0,,,,East,double skin facade,90,,Thin Film,CIS,,Würth Solar,,20,grid,,,,,autobrennero_g,,,,Array,x,,,Facade,Integrated,triangle-right,square,Office,90,10,0.0,#6f462e
160,CIEMAT,6.0,IEA Case Studies,Retrofit,2013,1980,Spain,40.454946,-3.726699,Office,Unknown,,https://bipv.eurac.edu/en/case-studies/ciemat-office-building.html,0.234,,,,,,Integrated,,standard,76000_EURO,,,27.2,176,735.2941176,20000.0,0.0,grid-connection,,,Mixed,,,standard z-girts,Crystalline,Mono,,,1046x1559,0,,1,,,,placeholder,0.24,4.0,0.001,,,,,Unknown,Integrated,circle,circle,Office,Mixed,14,20000.0,#6f462e
161,Flumroc Headquarters,20.0,Swiss BIPV Competence Center,Retrofit,2013,1980,Switzerland,47.097839,9.345577,Office,Unknown,,,,,Na,,,,,Cold Facade,,,,,57.3,413,706.8062827,0.0,40500.0,,,,Mixed,Paneled BIPV Facade,90,,Thin Film,CIS,,Solar Frontier SF-170-S,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Office,Mixed,14,40500.0,#6f462e
162,Flumroc Headquarters,20.0,Swiss BIPV Competence Center,Retrofit,2013,1980,Switzerland,47.097839,9.345577,Office,Unknown,,,,,61%,,,,,Flat Roof,,,,,71.3,403,890.6030856,0.0,63500.0,,,,Unknown,BAPV Roof,0,,Crystalline,Mono,,LG290N1C-G3,,30,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Office,Unknown,14,63500.0,#6f462e
163,Ogg landwirtscraft,18.0,Swiss BIPV Competence Center,Retrofit,2013,1979,Switzerland,47.44065869,8.481082403,Agricultural,Unknown,,,,,,,,,,Pitched Roof,,,,,271.32,1740,812.0632464,0.0,220329.0,,,,Unknown,Paneled BIPV Roof,20,,Crystalline,Poly,,JA P6-60-255,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Industrial,Unknown,22,220329.0,#6f462e
164,Sport Center in Speicher,24.0,Swiss BIPV Competence Center,Retrofit,2015,1977,Switzerland,47.4117273,9.4470694,Sport,Unknown,,,,,,,,,,Pitched Roof,,,,,173.29,1100,894.4543828,0.0,155000.0,,,,Unknown,Paneled BIPV Roof,v5-15,,Crystalline,Mono,,Megasol Nicer M260 & M130,,0,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Civic,Unknown,22,155000.0,#6f462e
165,GDF Suez,8.0,Swiss BIPV Competence Center,Retrofit,2013,1973,France,47.310103,5.049344,Office,Unknown,,,,,Na,,,,,Canopy Facade,,,,,85.0,1020,0,0.0,0.0,,,,Southeast,Canopy,90,,Crystalline,Mono,,Issol Semitransparent,,0,,,,,,placeholder,,,,,,,,Facade,Unknown,triangle-right,square,Office,135,14,0.0,#6f462e
166,Swiss House of Beauty,21.0,Swiss BIPV Competence Center,Retrofit,2012,1971,Switzerland,47.36913511,8.078353059,Office,Unknown,,,,,,,,,,Cold Facade,,,,,16.8,100,595.2380952,0.0,10000.0,,,,Mixed,Paneled BIPV Facade,90,,Crystalline,Mono,,MGT-esys PV-ISO 0.7 W/m2 and MGT-e railing sys PV,,0,,,,,,placeholder,,,,,,,There are two systems at play here. One a cladding and the other a spandrel panel with some light transmission,Facade,Unknown,triangle-right,square,Office,Mixed,10,10000.0,#6f462e
167,Residence in Innerberg,22.0,Swiss BIPV Competence Center,Retrofit,2010,1970,Switzerland,46.998245,7.316847,Single Family Residential,Unknown,,,,,Na,,,,,Pitched Roof,,,,,15.0,103,1100,0.0,16500.0,,,,Unknown,Tiled BIPV Roof,60,,Crystalline,Mono,,3S PV Megaslate,,10,,,,,,placeholder,,,,,,,,Roof,Unknown,triangle-up,airfield,Single Residential,Unknown,10,16500.0,#6f462e
168,Slagelse Student Housing,24.0,IEA Case Studies,Retrofit,2017,1970,Denmark,55.403125,11.368043,Multi Family,Unknown,,,,,,,,,,,,,,,20.0,190,0,0.0,0.0,,,,195,facade,90,standard,Crystalline,Mono,,,,0,,,,,,placeholder,,,,,,,,Unknown,Unknown,circle,circle,Multi Residential,195,10,0.0,#6f462e
169,Plus Energy Chiasso,19.0,Weerasinghe et al. Economic Analysis,Retrofit,2013,1965,Switzerland,45.833283,9.026043,Office,Unknown,,,0.24,,,,,,,,,108438,186,,45.9,583,612,24095.0,28090.8,,,,Unknown,,,,Thin Film,a-Si,,,,0,,,,,https://doi.org/10.1016/j.rser.2020.110655,placeholder,0.35,2.6,0.02,,,,,Unknown,Unknown,circle,circle,Office,Unknown,14,28090.8,#6f462e
